Id,date,steps,calories_burned,avg_heart_rate,sleep_hours
150486,2023-01-10,7825,2172,92,8.0
150450,2023-01-10,4172,2688,70,7.8
150490,2023-01-29,7799,3326,65,5.5
150413,2023-01-16,8249,2526,61,6.5
150460,2023-01-07,9865,3347,72,7.0
150426,2023-01-12,10186,2110,97,7.5
150465,2023-01-27,5738,3157,98,5.6
150457,2023-01-25,13694,3467,79,6.8
150421,2023-01-24,6259,3187,93,6.5
150415,2023-01-20,14615,2319,69,5.1
150426,2023-01-03,9420,3381,64,7.5
150482,2023-01-20,7760,2469,77,7.7
150461,2023-01-18,7700,2587,89,8.4
150493,2023-01-20,5243,2885,66,5.5
150452,2023-01-04,11388,2281,93,8.0
150486,2023-01-04,14629,2732,89,5.8
150457,2023-01-17,8577,3370,83,7.0
150482,2023-01-03,12884,2475,78,5.3
150451,2023-01-12,12145,3102,75,6.3
150406,2023-01-07,13281,3179,97,5.3
150413,2023-01-07,9780,2990,70,9.0
150449,2023-01-24,3397,2419,89,6.2
150448,2023-01-27,10382,2243,81,5.3
150495,2023-01-30,7959,3203,86,7.8
150481,2023-01-22,11904,2212,85,5.5
150397,2023-01-11,9776,2427,72,8.4
150408,2023-01-07,12752,3084,70,5.3
150451,2023-01-02,12513,2082,69,7.0
150415,2023-01-19,13681,3084,64,7.6
150396,2023-01-11,13627,2400,73,8.2
150485,2023-01-17,6705,3157,70,5.3
150437,2023-01-09,13991,3337,60,7.8
150473,2023-01-27,5586,2400,77,7.0
150485,2023-01-19,11521,3007,90,5.6
150474,2023-01-02,12554,2597,64,6.0
150473,2023-01-28,8308,3063,98,8.5
150484,2023-01-17,13599,2714,65,8.9
150456,2023-01-27,14565,1830,88,7.2
150494,2023-01-07,5655,2169,94,8.0
150441,2023-01-26,4466,1851,66,7.6
150489,2023-01-07,14410,2261,67,8.9
150436,2023-01-19,12590,2453,84,8.7
150433,2023-01-17,12131,3468,82,7.8
150462,2023-01-07,14683,2567,83,8.8
150406,2023-01-22,8136,3464,84,7.8
150493,2023-01-13,9639,2296,79,5.6
150442,2023-01-27,12756,2984,74,7.4
150448,2023-01-03,14875,2385,76,8.3
150409,2023-01-07,14393,2773,79,7.6
150443,2023-01-24,7206,1936,99,7.6
150467,2023-01-16,7798,2261,71,6.0
150469,2023-01-01,4386,2304,69,6.4
150421,2023-01-22,4130,3481,95,7.7
150437,2023-01-12,9078,2759,87,8.9
150487,2023-01-09,14672,2735,91,8.8
150488,2023-01-10,9676,1948,99,8.9
150434,2023-01-06,12116,2293,70,8.2
150451,2023-01-06,9401,2329,92,6.6
150454,2023-01-14,5594,2393,64,7.1
150399,2023-01-22,9617,2231,80,6.9
150452,2023-01-18,3250,2658,83,7.3
150484,2023-01-28,8153,2065,79,8.9
150480,2023-01-15,8263,1823,64,8.9
150485,2023-01-22,6708,2515,72,8.6
150446,2023-01-25,10265,2905,66,8.5
150407,2023-01-01,6993,2288,85,5.2
150485,2023-01-27,9333,3463,81,5.9
150404,2023-01-16,5116,3483,70,8.8
150401,2023-01-08,6584,3196,62,8.6
150406,2023-01-19,11942,2971,78,7.4
150417,2023-01-01,14451,1859,78,7.0
150469,2023-01-17,8660,2438,77,7.4
150406,2023-01-15,7124,1948,70,6.2
150456,2023-01-26,4982,2652,79,7.1
150494,2023-01-20,9621,3192,98,8.6
150447,2023-01-15,7284,2225,76,8.4
150424,2023-01-15,12010,1940,78,8.6
150463,2023-01-06,4070,2774,70,7.6
150475,2023-01-28,5620,2398,61,7.7
150407,2023-01-17,11436,2547,75,8.5
150415,2023-01-29,13512,2735,77,5.9
150424,2023-01-16,13863,3391,71,7.7
150410,2023-01-23,4394,1985,71,6.5
150473,2023-01-23,12116,3096,63,6.6
150462,2023-01-21,3561,1917,69,7.5
150490,2023-01-28,10380,2278,98,7.0
150447,2023-01-04,14428,3311,68,6.7
150421,2023-01-12,6808,2131,74,8.0
150463,2023-01-02,8599,2446,89,8.9
150492,2023-01-21,10039,3129,99,5.3
150441,2023-01-08,4985,2636,86,6.0
150450,2023-01-18,6083,2904,69,7.4
150431,2023-01-28,3634,2122,78,5.3
150462,2023-01-11,8993,1885,78,5.8
150428,2023-01-06,3680,2276,68,6.4
150471,2023-01-26,8606,2422,60,5.2
150469,2023-01-05,10714,2816,98,6.9
150415,2023-01-17,13142,2165,95,6.4
150398,2023-01-06,4648,3243,97,7.7
150427,2023-01-07,9297,2351,64,6.7
150478,2023-01-25,7218,2141,72,8.2
150420,2023-01-11,12491,2812,68,8.6
150437,2023-01-05,13377,2144,67,8.3
150433,2023-01-22,11566,2882,74,8.4
150445,2023-01-02,4462,3225,93,6.7
150473,2023-01-07,11469,2808,77,6.1
150421,2023-01-07,6321,3276,67,8.5
150463,2023-01-17,7581,3467,77,6.4
150470,2023-01-30,12491,2090,70,8.0
150479,2023-01-25,7635,2895,73,5.7
150471,2023-01-06,9694,3299,78,5.2
150494,2023-01-13,7215,2381,87,5.6
150449,2023-01-04,4738,3164,80,6.8
150449,2023-01-19,5511,1943,67,8.0
150464,2023-01-12,4242,2147,99,6.5
150422,2023-01-18,12714,3208,87,7.3
150438,2023-01-09,12067,2170,98,7.5
150455,2023-01-04,11501,2602,90,6.1
150404,2023-01-09,3950,2088,63,7.3
150399,2023-01-18,6147,1953,75,5.6
150476,2023-01-19,10396,2994,90,7.1
150487,2023-01-20,4501,2108,98,6.2
150466,2023-01-29,9941,2254,68,5.3
150459,2023-01-11,7423,2010,82,8.8
150492,2023-01-11,13106,1877,89,7.7
150488,2023-01-03,4797,2724,76,7.4
150446,2023-01-05,12381,3012,73,6.8
150473,2023-01-08,9981,1829,98,8.1
150442,2023-01-13,13310,2277,68,5.4
150403,2023-01-18,6744,2701,69,7.2
150482,2023-01-22,7374,3263,79,6.0
150463,2023-01-27,12609,2138,89,7.1
150485,2023-01-14,7747,1975,90,8.3
150428,2023-01-16,11125,3306,78,6.6
150425,2023-01-16,7402,2256,91,8.6
150482,2023-01-16,4287,2596,90,7.6
150403,2023-01-15,12333,2635,78,5.8
150426,2023-01-17,9976,3250,98,8.1
150468,2023-01-23,8684,2778,95,5.9
150476,2023-01-03,10641,1933,68,5.3
150483,2023-01-15,7414,2910,81,7.2
150451,2023-01-25,11446,2966,95,8.0
150470,2023-01-18,13695,2626,61,5.7
150464,2023-01-06,4823,2508,76,6.7
150446,2023-01-27,7487,3170,61,5.3
150472,2023-01-07,13237,2800,70,8.3
150412,2023-01-08,5989,2826,80,8.5
150488,2023-01-23,13884,2770,87,6.6
150453,2023-01-23,11564,2772,82,8.2
150440,2023-01-06,12323,2330,85,6.2
150454,2023-01-28,14356,2487,76,7.5
150488,2023-01-18,11554,2181,80,5.7
150463,2023-01-25,8193,3014,63,7.2
150483,2023-01-18,8745,2091,68,7.7
150489,2023-01-14,13917,2951,94,8.2
150471,2023-01-03,7947,2307,63,7.2
150414,2023-01-19,13322,2922,80,5.5
150452,2023-01-16,6407,2387,64,6.2
150476,2023-01-26,7175,2854,84,7.3
150451,2023-01-03,10347,2343,85,6.9
150444,2023-01-14,8014,3175,89,8.8
150477,2023-01-25,7268,1803,81,7.3
150485,2023-01-07,4109,2585,94,7.8
150431,2023-01-15,3816,2926,60,5.1
150483,2023-01-06,8154,3279,71,5.6
150438,2023-01-01,13283,3140,76,8.6
150462,2023-01-12,5907,2666,70,8.2
150425,2023-01-01,6220,2339,99,6.9
150403,2023-01-21,13568,2584,68,7.4
150396,2023-01-18,3995,2069,90,8.7
150481,2023-01-02,13916,2505,72,7.6
150448,2023-01-14,10996,2953,92,7.0
150427,2023-01-25,13743,2845,80,7.2
150431,2023-01-22,7994,1938,89,7.6
150480,2023-01-07,6574,2266,96,8.2
150406,2023-01-05,13268,2932,93,6.1
150452,2023-01-22,5429,2790,90,8.0
150422,2023-01-11,11036,2858,82,6.8
150482,2023-01-30,10238,2637,70,6.4
150460,2023-01-09,6170,3229,95,9.0
150437,2023-01-26,11901,2370,77,6.3
150488,2023-01-19,13537,2803,75,5.3
150418,2023-01-05,10521,1827,98,7.8
150403,2023-01-09,12352,2558,62,7.1
150402,2023-01-08,7637,2558,76,8.8
150494,2023-01-21,14200,2989,72,7.9
150495,2023-01-20,3521,2288,92,5.3
150464,2023-01-26,4500,2642,92,6.1
150460,2023-01-12,8791,1863,61,6.1
150447,2023-01-08,10104,2694,92,7.8
150416,2023-01-01,10128,3449,81,6.1
150483,2023-01-07,3760,2394,84,7.8
150426,2023-01-30,7956,2492,86,6.7
150469,2023-01-20,13344,2345,92,7.2
150434,2023-01-26,5440,1839,79,5.1
150488,2023-01-08,3573,1918,80,7.6
150474,2023-01-17,13093,2194,69,6.6
150413,2023-01-12,9704,2627,61,7.7
150406,2023-01-04,8877,3101,63,5.5
150464,2023-01-27,3191,2818,98,7.1
150421,2023-01-08,11365,3166,89,6.0
150468,2023-01-10,3789,3227,77,8.2
150404,2023-01-21,14127,1926,87,6.5
150472,2023-01-19,6399,2787,82,7.5
150461,2023-01-02,7868,1812,78,7.5
150479,2023-01-07,3358,2649,70,5.7
150408,2023-01-08,12175,2947,74,5.0
150465,2023-01-01,10595,2456,61,6.9
150450,2023-01-23,12065,2259,73,8.4
150451,2023-01-29,5508,2462,75,6.4
150468,2023-01-29,5261,2373,67,5.4
150428,2023-01-28,11643,2088,72,8.1
150476,2023-01-27,3864,2516,69,5.6
150432,2023-01-01,11026,3237,61,7.6
150426,2023-01-10,12467,2359,85,7.1
150434,2023-01-24,11080,3222,74,5.2
150463,2023-01-23,5220,2033,84,7.9
150439,2023-01-12,14926,2199,73,8.0
150408,2023-01-23,4007,3149,78,8.0
150454,2023-01-29,8495,2827,69,6.2
150416,2023-01-11,13660,3176,62,6.2
150442,2023-01-01,9448,1806,70,6.5
150472,2023-01-01,10190,2078,80,5.1
150466,2023-01-07,12063,2003,80,7.9
150435,2023-01-02,8509,2778,72,7.3
150495,2023-01-28,10830,2999,62,7.9
150398,2023-01-22,13492,2780,91,8.4
150401,2023-01-02,12086,3184,98,8.0
150476,2023-01-29,13097,2363,93,7.9
150428,2023-01-02,5610,2904,83,5.6
150488,2023-01-25,9125,2041,80,6.1
150402,2023-01-22,13247,2424,94,5.7
150439,2023-01-16,11476,3483,84,6.1
150418,2023-01-12,12369,2182,63,8.0
150463,2023-01-13,9404,2792,93,5.6
150397,2023-01-25,12986,2459,95,5.1
150410,2023-01-19,13971,3187,79,7.0
150477,2023-01-08,9655,3297,92,8.7
150475,2023-01-21,14690,3244,61,6.9
150443,2023-01-12,6138,2703,67,8.4
150447,2023-01-07,12637,2050,92,7.9
150401,2023-01-16,14148,3381,94,8.3
150479,2023-01-12,7576,1883,72,9.0
150433,2023-01-19,9982,3083,60,5.7
150429,2023-01-15,7757,2746,80,5.8
150490,2023-01-19,12179,2602,82,6.1
150463,2023-01-19,14998,2166,79,5.6
150426,2023-01-14,14617,3096,75,8.9
150412,2023-01-02,11189,2621,66,5.0
150412,2023-01-20,6530,3086,90,8.4
150455,2023-01-27,5735,3123,77,5.9
150426,2023-01-19,14307,1936,96,5.0
150459,2023-01-13,13111,2481,88,6.7
150435,2023-01-24,4647,3390,76,7.0
150494,2023-01-22,8487,3266,85,7.8
150467,2023-01-21,5934,1822,86,8.1
150401,2023-01-12,9819,1889,67,6.4
150493,2023-01-16,9042,3277,65,8.3
150423,2023-01-03,6802,1881,87,8.3
150437,2023-01-08,4260,2669,88,5.9
150487,2023-01-03,7923,2401,67,7.3
150442,2023-01-25,12739,3453,89,5.1
150398,2023-01-16,10022,2759,92,5.8
150434,2023-01-23,8208,2487,77,7.7
150465,2023-01-05,10903,3093,86,7.1
150489,2023-01-04,12432,2119,81,7.7
150445,2023-01-18,4174,3492,73,6.5
150486,2023-01-03,6544,2181,83,5.8
150442,2023-01-18,6715,2341,89,6.3
150463,2023-01-15,6078,2438,99,5.8
150455,2023-01-07,12959,3064,94,7.5
150472,2023-01-08,11593,2405,96,8.5
150495,2023-01-13,10859,2321,87,6.9
150458,2023-01-16,5509,2720,74,6.3
150457,2023-01-04,7698,2015,72,5.1
150459,2023-01-19,8984,1817,89,8.6
150486,2023-01-05,14700,3159,83,8.6
150409,2023-01-14,6380,2319,74,6.8
150403,2023-01-22,13230,3242,89,5.4
150440,2023-01-14,8672,2135,93,5.7
150473,2023-01-22,6756,2979,77,5.8
150430,2023-01-22,5591,2366,91,8.1
150444,2023-01-08,3126,3306,99,7.2
150482,2023-01-10,10130,2533,89,5.1
150459,2023-01-24,4782,2245,88,6.0
150416,2023-01-06,9381,2446,82,7.6
150437,2023-01-19,9845,2328,85,5.6
150490,2023-01-01,13267,2266,63,7.6
150477,2023-01-15,7503,3280,72,6.7
150434,2023-01-03,9774,2624,67,8.8
150477,2023-01-11,6133,2598,71,8.0
150493,2023-01-12,7555,1860,74,7.5
150402,2023-01-24,11150,1877,83,7.9
150422,2023-01-05,4054,3211,64,5.9
150475,2023-01-03,9200,3385,63,6.6
150396,2023-01-14,3775,1834,73,6.6
150469,2023-01-18,4702,2568,98,7.2
150492,2023-01-25,14788,3363,79,6.1
150418,2023-01-16,10193,2680,61,5.3
150492,2023-01-05,12432,3222,63,5.4
150482,2023-01-23,10255,2722,61,8.4
150411,2023-01-15,12400,2862,90,6.0
150421,2023-01-25,5242,2979,74,8.0
150460,2023-01-15,4460,3146,85,8.6
150412,2023-01-16,3140,2269,78,5.4
150422,2023-01-23,5660,1963,78,5.5
150401,2023-01-20,5193,2023,70,7.4
150477,2023-01-19,14236,3344,84,5.8
150468,2023-01-09,10740,2270,80,8.0
150427,2023-01-29,13965,2304,76,7.4
150494,2023-01-25,8273,3065,88,6.4
150410,2023-01-26,14561,2739,73,8.9
150444,2023-01-17,7530,2481,66,8.1
150462,2023-01-22,6554,2194,71,5.7
150443,2023-01-13,11531,1974,63,5.0
150425,2023-01-26,9599,3183,63,6.6
150410,2023-01-09,10867,2673,73,5.3
150484,2023-01-18,13208,2362,80,5.2
150453,2023-01-25,11070,2941,79,8.2
150402,2023-01-16,9777,2874,78,8.3
150481,2023-01-06,10624,1934,67,8.1
150414,2023-01-07,10373,2065,84,7.3
150456,2023-01-28,14534,3429,85,8.0
150492,2023-01-17,5072,3095,97,7.9
150448,2023-01-25,6565,1986,61,6.5
150448,2023-01-07,13673,1924,76,7.0
150480,2023-01-29,3716,3079,75,5.1
150487,2023-01-16,4406,3066,72,8.8
150398,2023-01-28,10343,2862,88,6.2
150417,2023-01-03,3541,3137,97,5.8
150461,2023-01-09,3727,2679,68,5.4
150415,2023-01-13,10083,2248,82,7.7
150404,2023-01-17,14111,2349,65,6.6
150432,2023-01-10,4812,3399,85,8.6
150456,2023-01-14,4074,2009,69,5.2
150443,2023-01-01,9748,1821,61,8.3
150397,2023-01-18,3854,3048,60,6.0
150451,2023-01-01,7920,2555,91,8.4
150446,2023-01-30,5681,2951,76,6.1
150437,2023-01-18,7117,2477,94,6.4
150446,2023-01-03,9040,3262,76,7.7
150397,2023-01-29,11155,2272,82,7.2
150487,2023-01-01,9708,2329,82,5.0
150485,2023-01-13,12862,2319,90,6.9
150398,2023-01-13,6446,2845,89,8.9
150456,2023-01-11,7433,1922,60,7.1
150411,2023-01-24,6124,3127,64,7.3
150481,2023-01-27,8261,2155,64,6.3
150442,2023-01-02,10382,2228,82,6.3
150400,2023-01-04,11967,2404,85,7.7
150436,2023-01-17,9513,2699,97,5.2
150425,2023-01-11,13704,1903,87,8.9
150440,2023-01-16,7683,2000,69,5.3
150475,2023-01-29,10370,3366,92,8.6
150434,2023-01-08,7145,3181,83,5.4
150441,2023-01-04,4268,3110,94,6.4
150407,2023-01-06,6294,2789,98,6.8
150445,2023-01-25,6389,1943,83,8.3
150470,2023-01-10,9745,3446,98,8.6
150459,2023-01-27,8782,2743,66,5.6
150478,2023-01-26,4728,3288,71,7.9
150402,2023-01-01,3770,3129,71,8.3
150444,2023-01-11,7086,2013,80,6.7
150480,2023-01-23,5314,2116,63,5.4
150416,2023-01-17,6081,3228,98,7.5
150400,2023-01-01,8536,2991,69,5.8
150399,2023-01-19,10253,2496,88,5.5
150488,2023-01-30,12474,2413,63,7.4
150461,2023-01-12,10492,2013,75,7.9
150448,2023-01-19,9430,2393,66,8.3
150452,2023-01-24,7784,2179,85,7.3
150420,2023-01-30,7912,2352,76,5.5
150418,2023-01-24,9971,2267,65,8.2
150453,2023-01-14,13040,2696,66,6.3
150480,2023-01-25,4189,2812,60,5.8
150401,2023-01-22,7784,3284,92,6.9
150399,2023-01-13,5838,2950,68,7.8
150477,2023-01-28,11007,3367,97,7.9
150421,2023-01-23,11566,1872,97,8.2
150470,2023-01-12,13058,3237,84,8.6
150409,2023-01-26,6117,3495,74,7.0
150412,2023-01-11,7399,3116,74,7.1
150434,2023-01-25,12718,2478,72,9.0
150434,2023-01-01,9231,3079,68,9.0
150488,2023-01-09,4478,1825,67,6.8
150440,2023-01-09,6009,2455,61,7.3
150441,2023-01-28,4893,2451,96,5.1
150442,2023-01-19,8185,1907,71,8.3
150449,2023-01-22,10328,2337,79,5.9
150442,2023-01-20,3692,2054,66,7.7
150423,2023-01-20,11605,3181,70,6.4
150439,2023-01-18,10108,2749,95,7.3
150441,2023-01-02,6866,2171,82,7.9
150449,2023-01-12,10853,1891,77,8.3
150486,2023-01-28,13460,2719,64,7.0
150402,2023-01-02,11427,2188,89,8.5
150452,2023-01-01,9964,2673,84,5.0
150452,2023-01-08,3654,2477,74,5.3
150401,2023-01-28,3716,3269,60,7.7
150419,2023-01-04,10833,3205,64,8.9
150475,2023-01-30,10690,3240,66,7.6
150485,2023-01-08,4649,3007,83,7.9
150429,2023-01-22,4818,1853,94,8.6
150459,2023-01-26,12867,2922,73,7.2
150405,2023-01-16,13093,1961,92,5.1
150425,2023-01-29,12784,2358,90,7.8
150425,2023-01-24,10659,3022,85,8.4
150465,2023-01-16,7712,2411,85,5.8
150493,2023-01-03,6932,2331,92,7.2
150457,2023-01-21,5441,2898,77,8.9
150419,2023-01-11,13785,1840,77,8.0
150444,2023-01-15,6729,3286,92,7.6
150442,2023-01-24,8476,3365,92,5.6
150435,2023-01-17,9129,1908,82,6.2
150470,2023-01-15,9668,2528,61,6.2
150436,2023-01-24,4186,2259,85,7.9
150465,2023-01-26,13005,3015,67,7.9
150482,2023-01-28,13387,2769,88,6.8
150465,2023-01-13,10574,3331,88,7.3
150459,2023-01-29,4524,2050,68,5.7
150468,2023-01-15,4834,3364,96,7.1
150493,2023-01-05,13412,2674,68,7.6
150434,2023-01-02,5259,3057,76,7.5
150483,2023-01-20,4359,2891,81,6.5
150494,2023-01-26,8479,2883,69,5.8
150475,2023-01-02,12776,2643,79,6.0
150405,2023-01-06,6432,2488,79,6.7
150439,2023-01-07,4902,2374,99,5.4
150468,2023-01-11,3864,3093,95,6.0
150448,2023-01-02,12743,2291,99,5.8
150457,2023-01-13,9720,3032,60,5.1
150442,2023-01-28,8606,1971,77,7.4
150450,2023-01-25,11669,2478,79,8.7
150461,2023-01-21,4096,2728,91,7.0
150449,2023-01-03,7212,2617,89,5.8
150441,2023-01-20,7039,3023,85,5.4
150440,2023-01-03,11497,2707,90,6.9
150449,2023-01-15,11857,3178,67,8.2
150424,2023-01-27,7424,2989,70,7.9
150427,2023-01-16,9771,2078,64,6.6
150439,2023-01-10,8956,1889,75,5.8
150428,2023-01-20,6277,2174,62,8.4
150457,2023-01-26,11867,2851,72,6.2
150403,2023-01-12,11195,2445,89,5.7
150462,2023-01-14,9546,2195,74,6.1
150426,2023-01-22,13695,2743,86,6.0
150443,2023-01-23,13061,2457,87,7.6
150431,2023-01-24,5581,2317,71,5.7
150459,2023-01-05,3810,1987,71,6.6
150475,2023-01-23,12404,2263,75,7.8
150400,2023-01-18,8588,3307,82,8.1
150481,2023-01-28,12211,3414,65,6.8
150441,2023-01-14,5994,3496,62,8.0
150490,2023-01-11,3043,2308,87,8.5
150479,2023-01-14,6523,3310,78,7.2
150430,2023-01-09,5817,2244,97,6.7
150416,2023-01-03,12759,3045,98,8.4
150486,2023-01-01,5169,3075,82,6.5
150423,2023-01-27,5951,3038,73,5.6
150457,2023-01-07,3282,2881,61,7.7
150429,2023-01-11,5849,2717,62,6.5
150456,2023-01-18,8820,2804,85,7.9
150465,2023-01-30,3889,1912,82,8.6
150468,2023-01-24,3556,3275,68,5.9
150430,2023-01-20,6606,3488,80,8.0
150410,2023-01-20,4712,2746,91,7.4
150479,2023-01-06,12230,3055,62,5.4
150399,2023-01-05,10509,2104,65,6.2
150487,2023-01-13,10211,2805,92,7.3
150462,2023-01-20,12628,2962,96,8.0
150435,2023-01-09,13245,3029,91,8.2
150404,2023-01-29,11766,2043,84,8.5
150397,2023-01-03,3863,2542,91,7.8
150402,2023-01-20,10240,2593,81,5.3
150445,2023-01-19,5244,2534,84,5.6
150403,2023-01-19,12865,1971,61,6.3
150433,2023-01-29,9582,2967,66,7.0
150449,2023-01-20,14397,1947,75,7.6
150406,2023-01-03,5599,2036,84,6.0
150447,2023-01-20,13061,2320,71,8.8
150460,2023-01-18,3555,2155,87,8.6
150484,2023-01-25,13719,2701,94,8.7
150400,2023-01-15,5502,2517,90,8.8
150489,2023-01-09,9644,3076,60,8.4
150422,2023-01-29,8867,2619,91,7.0
150418,2023-01-20,5551,2067,69,5.4
150461,2023-01-07,3211,2307,75,5.4
150424,2023-01-01,13576,1982,82,8.5
150412,2023-01-01,12042,3188,70,6.5
150475,2023-01-09,10773,2338,81,5.9
150452,2023-01-28,4847,2507,90,8.5
150487,2023-01-19,4758,2351,73,9.0
150480,2023-01-24,9739,2937,90,5.8
150418,2023-01-29,14205,2165,78,8.5
150449,2023-01-14,7368,2387,62,6.7
150418,2023-01-26,3282,3449,99,7.0
150443,2023-01-26,8089,2122,85,7.4
150405,2023-01-18,3832,2112,62,5.9
150419,2023-01-13,9763,3474,89,8.9
150412,2023-01-22,11105,2244,95,6.7
150399,2023-01-30,5738,3250,96,7.5
150408,2023-01-05,10490,2434,87,6.9
150477,2023-01-05,9107,3460,67,6.6
150414,2023-01-18,13142,2879,74,8.9
